Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,66,40,26,66,75,3,21,0,0,25,25,60,61,121,0,301,22,0,5,6.625,0.375,49.5,87.4172,8,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,6,4,2,17,75,3,21,0,0,25,25,60,61,121,0,301,22,0,5,3.63433,0.246269,35.3806,75.6623,134,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AC Botha,36,16,20,70,51,2,16,0,8,18,26,40,53,93,302,263,23,1,5,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,WK McCallan,9,4,5,27,51,2,16,0,8,18,26,40,53,93,302,263,23,1,5,0.692308,0,7.69231,56.8182,13,3
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,22,12,10,34,38,3,22,1,8,15,23,40,43,83,0,166,9,1,5,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,6,4,2,16,38,3,22,1,8,15,23,40,43,83,0,166,9,1,5,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,R Clarke,0,0,0,0,38,3,22,1,8,15,23,40,43,83,0,166,9,1,5,1.5,0,19.5,81.25,2,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,18,8,10,33,36,2,25,0,12,17,29,44,46,90,167,169,9,0,5,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,32,24,8,62,36,2,25,0,12,17,29,44,46,90,167,169,9,0,5,2.64655,0.215517,28.5,73.2713,116,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,14,8,6,17,78,2,19,0,16,9,25,64,58,122,0,271,3,1,5,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,33,8,25,57,78,2,19,0,16,9,25,64,58,122,0,271,3,1,5,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,0,0,0,0,78,2,19,0,16,9,25,64,58,122,0,271,3,1,5,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,0,0,0,0,78,2,19,0,16,9,25,64,58,122,0,271,3,1,5,1.41667,0.0833333,19,73.7864,24,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,32,16,16,45,68,2,28,0,8,14,22,70,48,118,272,274,10,0,5,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,43,32,11,58,68,2,28,0,8,14,22,70,48,118,272,274,10,0,5,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,13,4,9,51,43,3,28,0,4,18,22,50,43,93,0,235,8,0,5,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,27,20,7,31,43,3,28,0,4,18,22,50,43,93,0,235,8,0,5,3.16667,0,26.9167,70.989,12,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,19,12,7,29,55,1,26,0,20,12,32,68,45,113,236,237,5,1,5,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AJ Strauss,49,28,21,72,55,1,26,0,20,12,32,68,45,113,236,237,5,1,5,3.93243,0.27027,33.9054,79.8028,74,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,4,0,4,16,35,3,15,0,0,4,4,18,36,54,0,154,20,0,5,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,11,6,5,15,35,3,15,0,0,4,4,18,36,54,0,154,20,0,5,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,0,0,0,0,35,3,15,0,0,4,4,18,36,54,0,154,20,0,5,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Abdul Razzaq,0,0,0,0,35,3,15,0,0,4,4,18,36,54,0,154,20,0,5,2.225,0.075,20.475,82.0641,40,4
