Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AJ Strauss,4,4,0,12,22,0,27,1,12,14,26,52,23,75,0,301,20,0,3,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,0,0,0,0,22,0,27,1,12,14,26,52,23,75,0,301,20,0,3,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,35,28,7,30,22,0,27,1,12,14,26,52,23,75,0,301,20,0,3,6.625,0.375,49.5,87.4172,8,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AC Botha,19,12,7,36,15,1,26,0,0,10,10,24,27,51,302,263,19,1,3,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,JP Bray,22,12,10,27,15,1,26,0,0,10,10,24,27,51,302,263,19,1,3,2.7,0.1,23.4,63.0728,10,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,WK McCallan,0,0,0,0,15,1,26,0,0,10,10,24,27,51,302,263,19,1,3,0.692308,0,7.69231,56.8182,13,3
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,1,0,1,8,9,1,7,2,12,10,22,20,18,38,0,166,6,1,3,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,0,0,0,7,9,1,7,2,12,10,22,20,18,38,0,166,6,1,3,2.62366,0.193548,30.5161,76.8065,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,0,0,0,8,16,1,10,1,8,2,10,20,16,36,167,169,8,0,3,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,15,12,3,27,16,1,10,1,8,2,10,20,16,36,167,169,8,0,3,2.64655,0.215517,28.5,73.2713,116,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,15,4,11,28,27,1,25,0,8,18,26,36,42,78,0,271,2,1,3,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AJ Strauss,37,24,13,33,27,1,25,0,8,18,26,36,42,78,0,271,2,1,3,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,0,0,0,0,27,1,25,0,8,18,26,36,42,78,0,271,2,1,3,3.69892,0.236559,33.4946,82.2117,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,2,0,2,9,23,1,19,1,20,6,26,50,18,68,272,274,4,0,3,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,19,16,3,29,23,1,19,1,20,6,26,50,18,68,272,274,4,0,3,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shahid Afridi,23,14,9,27,21,2,15,0,0,7,7,22,21,43,0,235,6,0,3,2.72917,0.0972222,21.4097,127.766,144,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,0,0,0,0,21,2,15,0,0,7,7,22,21,43,0,235,6,0,3,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,5,0,5,22,21,2,15,0,0,7,7,22,21,43,0,235,6,0,3,3.27586,0.275862,36.7931,73.9176,58,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AJ Strauss,25,16,9,36,18,0,20,1,8,9,17,32,23,55,236,237,2,1,3,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,0,0,0,1,18,0,20,1,8,9,17,32,23,55,236,237,2,1,3,3.63433,0.246269,35.3806,75.6623,134,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Imran Farhat,9,0,9,34,5,0,13,0,4,13,17,12,23,35,0,154,16,0,3,3.03333,0.266667,27.0333,62.9658,30,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Hafeez,9,8,1,30,5,0,13,0,4,13,17,12,23,35,0,154,16,0,3,4.04511,0.255639,34.3534,78.0625,133,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shahid Afridi,0,0,0,0,5,0,13,0,4,13,17,12,23,35,0,154,16,0,3,2.72917,0.0972222,21.4097,127.766,144,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,1,0,1,2,27,1,20,2,12,9,21,52,16,68,155,155,4,1,3,3.69892,0.236559,33.4946,82.2117,93,4
